Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Bosnia and Herzegovina,BIH,2022,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,1
Bosnia and Herzegovina,BIH,2013,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,1
Bosnia and Herzegovina,BIH,2011,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,0.99397999048233
Bosnia and Herzegovina,BIH,2000,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,1
Bosnia and Herzegovina,BIH,1991,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,1
Bosnia and Herzegovina,BIH,2023,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,1.37761998176575
Bosnia and Herzegovina,BIH,2022,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,1.37272000312805
Bosnia and Herzegovina,BIH,2021,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,1.35613000392914
Bosnia and Herzegovina,BIH,2020,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,1.34396004676819
Bosnia and Herzegovina,BIH,2019,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,1.33153998851776
Bosnia and Herzegovina,BIH,2018,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,1.29551994800568
Bosnia and Herzegovina,BIH,2017,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,1.28409004211426
Bosnia and Herzegovina,BIH,2016,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,1.26592004299164
Bosnia and Herzegovina,BIH,2015,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,1.25629997253418
Bosnia and Herzegovina,BIH,2014,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,1.24599003791809
Bosnia and Herzegovina,BIH,2013,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,1.2251900434494
Bosnia and Herzegovina,BIH,2012,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,1.23072004318237
Bosnia and Herzegovina,BIH,2011,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,1.24075996875763
Bosnia and Herzegovina,BIH,2010,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,1.24909996986389
Bosnia and Herzegovina,BIH,2009,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,1.24968004226685
Bosnia and Herzegovina,BIH,2008,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,1.24600994586945
Bosnia and Herzegovina,BIH,2007,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,1.23039996623993
Bosnia and Herzegovina,BIH,2006,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,1.21872997283936
Bosnia and Herzegovina,BIH,2005,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,1.23287999629974
Bosnia and Herzegovina,BIH,2024,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,19.047619047619
Bosnia and Herzegovina,BIH,2023,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,19.0476190476191
Bosnia and Herzegovina,BIH,2022,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,16.6666666666667
Bosnia and Herzegovina,BIH,2021,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,26.1904761904762
Bosnia and Herzegovina,BIH,2020,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,26.1904761904762
Bosnia and Herzegovina,BIH,2019,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,21.4285714285714
Bosnia and Herzegovina,BIH,2018,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,21.4285714285714
Bosnia and Herzegovina,BIH,2017,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,21.4285714285714
Bosnia and Herzegovina,BIH,2016,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,21.4285714285714
Bosnia and Herzegovina,BIH,2015,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,21.4285714285714
